# Thermal telescope noise for 331-dish configuration of HERA at z=10 calculated with 21cmSense
# This is just the thermal noise and excludes the EoR model-dependent cosmic variance
# Wavenumbers k are in 1/Mpc, Delta^2(k) is in mK^2, P(k) is in mK^2 * Mpc^3
# The power spectra are related by Delta^2(k) = P(k) * k^3 / (2*pi^2)
# 
# k Delta^2_noise(k) P_noise(k)
8.608029165055992860e-02 7.497480119724005965e-01 2.320245155710674226e+04
1.291204374758398721e-01 9.690225609725408029e-01 8.885434363102138377e+03
1.721605833011198572e-01 1.579686971146911478e+00 6.110821542394788594e+03
2.152007291263998146e-01 2.581060619540422874e+00 5.112069274223050343e+03
2.582408749516797442e-01 4.009421032730510426e+00 4.595538955333164267e+03
3.012810207769597293e-01 6.118637405776683025e+00 4.416407473214803758e+03
3.443211666022397144e-01 9.023823516839172498e+00 4.363441630261220780e+03
3.873613124275196995e-01 1.280939307881646272e+01 4.350203398802656011e+03
4.304014582527996846e-01 1.754267855435158197e+01 4.343146154062453206e+03
4.734416040780795587e-01 2.332120040602329780e+01 4.337918459479208650e+03
5.164817499033594883e-01 3.024944902195140628e+01 4.333933759479468790e+03
5.595218957286395289e-01 3.843194894972904763e+01 4.330827548342977025e+03
6.025620415539195696e-01 4.797322397644560965e+01 4.328359625538387263e+03
6.456021873791993881e-01 5.897779736945390994e+01 4.326366534795017287e+03
6.886423332044794288e-01 7.155019203177475617e+01 4.324733938751560345e+03
7.316824790297593584e-01 8.579493060522921155e+01 4.323379927628644509e+03
7.747226248550393990e-01 1.018165355406007961e+02 4.322244584869486062e+03
8.177627706803193286e-01 1.197195291464398679e+02 4.321283267467134465e+03
8.608029165055992582e-01 1.396084336236951913e+02 4.320462163808420883e+03
9.038430623308791878e-01 1.615877710907336677e+02 4.319755288141411256e+03
9.468832081561592284e-01 1.857620636017119011e+02 4.319142404440151040e+03
9.899233539814390470e-01 2.122358331602671058e+02 4.318607565287606121e+03
1.032963499806718977e+00 2.411136017298582317e+02 4.318138066119841824e+03
1.076003645631999017e+00 2.724998912416719463e+02 4.317723685215003570e+03
1.119043791457279058e+00 3.064992236007383895e+02 4.317356123586500871e+03
1.162083937282559098e+00 3.432161206907078395e+02 4.317028586888893187e+03
1.205124083107838917e+00 3.827551043776218762e+02 4.316735469639937037e+03
1.248164228933118958e+00 4.252206965129136051e+02 4.316472114119609614e+03
1.291204374758398998e+00 4.707174189358141803e+02 4.316234624429499490e+03
1.334244520583678817e+00 5.193497934753032723e+02 4.316019721750812096e+03
1.377284666408958858e+00 5.712223419516959666e+02 4.315824630691721723e+03
1.420324812234238676e+00 6.264395861779402139e+02 4.315646989321695401e+03
1.463364958059518717e+00 6.851060479606962872e+02 4.315484777415463213e+03
1.506405103884798757e+00 7.473262491012227429e+02 4.315336258813684253e+03
1.549445249710078798e+00 8.132047113961253899e+02 4.315199934813942491e+03
1.592485395535358839e+00 8.828459566379791568e+02 4.315074506244343866e+03
1.635525541360638435e+00 9.563545066158567352e+02 4.314958842419554458e+03
1.678565687185918476e+00 1.033834883115772072e+03 4.314851955588213968e+03
1.721605833011198516e+00 1.115391607921064633e+03 4.314752979789257552e+03
